jackknife,year,region_combined,mean_species_diversity
Groundfish,1998.0,Alaska Peninsula,1.32241231861446
Groundfish,1998.0,Bristol Bay,1.1067519695245829
Groundfish,1998.0,Kodiak,1.712967696466451
Groundfish,1998.0,PWS/Cook Inlet,1.482201515726263
Groundfish,1998.0,Southeast,1.8502521506161003
Groundfish,1998.0,NA,1.5932803551340684
Groundfish,1999.0,Alaska Peninsula,1.2187794028729932
Groundfish,1999.0,Bristol Bay,1.0503110701034712
Groundfish,1999.0,Kodiak,1.50760201202909
Groundfish,1999.0,PWS/Cook Inlet,1.3540368630612243
Groundfish,1999.0,Southeast,1.7285889221960538
Groundfish,1999.0,NA,NaN
Groundfish,2e3,Alaska Peninsula,1.2788937311802204
Groundfish,2e3,Bristol Bay,1.039674651817745
Groundfish,2e3,Kodiak,1.8028760788114315
Groundfish,2e3,PWS/Cook Inlet,1.6005205896700225
Groundfish,2e3,Southeast,1.8112292024125
Groundfish,2e3,NA,1.3075700968175774
Groundfish,2001.0,Alaska Peninsula,1.4734354694901783
Groundfish,2001.0,Bristol Bay,1.0802753991093417
Groundfish,2001.0,Kodiak,1.7888396093590195
Groundfish,2001.0,PWS/Cook Inlet,1.458725015571272
Groundfish,2001.0,Southeast,1.8514105326555468
Groundfish,2001.0,NA,1.3135015270727537
Groundfish,2002.0,Alaska Peninsula,1.300543300138902
Groundfish,2002.0,Bristol Bay,1.0861311267309754
Groundfish,2002.0,Kodiak,NaN
Groundfish,2002.0,PWS/Cook Inlet,1.5158514518277282
Groundfish,2002.0,Southeast,1.7733550815529335
Groundfish,2002.0,NA,1.2521830072235047
Groundfish,2003.0,Alaska Peninsula,1.331074121011015
Groundfish,2003.0,Bristol Bay,1.056888985906963
Groundfish,2003.0,Kodiak,1.5174617606877099
Groundfish,2003.0,PWS/Cook Inlet,1.4111654392870283
Groundfish,2003.0,Southeast,1.8154734082308142
Groundfish,2003.0,NA,1.2473237863936428
Groundfish,2004.0,Alaska Peninsula,1.0648310335332924
Groundfish,2004.0,Bristol Bay,1.0588462693293526
Groundfish,2004.0,Kodiak,1.720117824450862
Groundfish,2004.0,PWS/Cook Inlet,1.5191994359992136
Groundfish,2004.0,Southeast,NaN
Groundfish,2004.0,NA,1.2334991834227356
Groundfish,2005.0,Alaska Peninsula,1.2330978838276399
Groundfish,2005.0,Bristol Bay,1.0648385738547832
Groundfish,2005.0,Kodiak,1.6191397689950426
Groundfish,2005.0,PWS/Cook Inlet,1.4094541511435874
Groundfish,2005.0,Southeast,1.9024184907867114
Groundfish,2005.0,NA,1.4904072453749468
Groundfish,2006.0,Alaska Peninsula,1.3579514451804389
Groundfish,2006.0,Bristol Bay,1.0779277190916514
Groundfish,2006.0,Kodiak,1.9289145325610846
Groundfish,2006.0,PWS/Cook Inlet,1.5457624587058383
Groundfish,2006.0,Southeast,1.8558006887321457
Groundfish,2006.0,NA,1.3408777611598903
Groundfish,2007.0,Alaska Peninsula,1.3873902085465009
Groundfish,2007.0,Bristol Bay,1.0523970600327899
Groundfish,2007.0,Kodiak,1.7694043444314258
Groundfish,2007.0,PWS/Cook Inlet,1.3406152937417604
Groundfish,2007.0,Southeast,1.81778717237642
Groundfish,2007.0,NA,1.3679802356868627
Groundfish,2008.0,Alaska Peninsula,1.653919653540193
Groundfish,2008.0,Bristol Bay,1.0623991744040666
Groundfish,2008.0,Kodiak,2.153667671188126
Groundfish,2008.0,PWS/Cook Inlet,1.6039342617460306
Groundfish,2008.0,Southeast,1.7234834562205021
Groundfish,2008.0,NA,1.6954555265184845
Groundfish,2009.0,Alaska Peninsula,1.504738615280037
Groundfish,2009.0,Bristol Bay,1.0445612105674347
Groundfish,2009.0,Kodiak,1.7574627588774072
Groundfish,2009.0,PWS/Cook Inlet,1.5157168977045672
Groundfish,2009.0,Southeast,1.7842522668817047
Groundfish,2009.0,NA,NaN
Groundfish,2010.0,Alaska Peninsula,1.531066421822822
Groundfish,2010.0,Bristol Bay,1.0713115552863564
Groundfish,2010.0,Kodiak,2.034813561568536
Groundfish,2010.0,PWS/Cook Inlet,1.5297269453967082
Groundfish,2010.0,Southeast,1.8469143691818375
Groundfish,2010.0,NA,1.973333368566935
Groundfish,2011.0,Alaska Peninsula,1.510850838297543
Groundfish,2011.0,Bristol Bay,1.0443602420629545
Groundfish,2011.0,Kodiak,1.8351344577349202
Groundfish,2011.0,PWS/Cook Inlet,1.305987016571383
Groundfish,2011.0,Southeast,1.8192000023365433
Groundfish,2011.0,NA,1.716399746644234
Groundfish,2012.0,Alaska Peninsula,1.3309612877180457
Groundfish,2012.0,Bristol Bay,1.0812635121655967
Groundfish,2012.0,Kodiak,1.8176139519391785
Groundfish,2012.0,PWS/Cook Inlet,1.4214493274914164
Groundfish,2012.0,Southeast,1.8031552747333597
Groundfish,2012.0,NA,NaN
Groundfish,2013.0,Alaska Peninsula,1.3714189989267072
Groundfish,2013.0,Bristol Bay,1.064631712691058
Groundfish,2013.0,Kodiak,1.593494601034913
Groundfish,2013.0,PWS/Cook Inlet,1.3965043925454408
Groundfish,2013.0,Southeast,1.8305355300982349
Groundfish,2013.0,NA,1.5990491990955453
Groundfish,2014.0,Alaska Peninsula,1.3008933258007234
Groundfish,2014.0,Bristol Bay,1.0720080330969657
Groundfish,2014.0,Kodiak,1.6408953021494006
Groundfish,2014.0,PWS/Cook Inlet,1.3128300826484582
Groundfish,2014.0,Southeast,1.842154174016498
Groundfish,2014.0,NA,1.5636949008358563
Herring,1985.0,Alaska Peninsula,1.5258759679751726
Herring,1985.0,Bristol Bay,1.2090750220631228
Herring,1985.0,Kodiak,1.6789061768411413
Herring,1985.0,PWS/Cook Inlet,1.6703338960352148
Herring,1985.0,Southeast,1.98018088907193
Herring,1985.0,NA,1.8127650565041094
Herring,1986.0,Alaska Peninsula,1.515562217597784
Herring,1986.0,Bristol Bay,1.121544687755886
Herring,1986.0,Kodiak,1.6033438791842645
Herring,1986.0,PWS/Cook Inlet,1.6581970987025294
Herring,1986.0,Southeast,1.9140959610607113
Herring,1986.0,NA,1.7624636092085133
Herring,1987.0,Alaska Peninsula,1.5000890416763328
Herring,1987.0,Bristol Bay,1.1069237030212926
Herring,1987.0,Kodiak,1.6716562601473974
Herring,1987.0,PWS/Cook Inlet,1.4225935428261545
Herring,1987.0,Southeast,2.0677263083971344
Herring,1987.0,NA,NaN
Herring,1988.0,Alaska Peninsula,1.8625273817261756
Herring,1988.0,Bristol Bay,1.1421326406770258
Herring,1988.0,Kodiak,1.69402809084874
Herring,1988.0,PWS/Cook Inlet,1.6953662679159076
Herring,1988.0,Southeast,2.1178369852357366
Herring,1988.0,NA,1.9029079402273676
Herring,1989.0,Alaska Peninsula,1.4762202850523558
Herring,1989.0,Bristol Bay,1.1265133972618269
Herring,1989.0,Kodiak,1.2469037532132654
Herring,1989.0,PWS/Cook Inlet,1.347488092596805
Herring,1989.0,Southeast,1.9408465094594012
Herring,1989.0,NA,NaN
Herring,1990.0,Alaska Peninsula,1.4238635700970204
Herring,1990.0,Bristol Bay,1.063242788984721
Herring,1990.0,Kodiak,1.538470357735348
Herring,1990.0,PWS/Cook Inlet,1.5649205696679402
Herring,1990.0,Southeast,1.9753889720626987
Herring,1990.0,NA,1.8050432538018641
Herring,1991.0,Alaska Peninsula,1.464880926208085
Herring,1991.0,Bristol Bay,1.0661209221370669
Herring,1991.0,Kodiak,1.7067591942870897
Herring,1991.0,PWS/Cook Inlet,1.5684757137832188
Herring,1991.0,Southeast,1.9937997204813318
Herring,1991.0,NA,1.7535355355545412
Herring,1992.0,Alaska Peninsula,1.3670929532341758
Herring,1992.0,Bristol Bay,1.0751670025144613
Herring,1992.0,Kodiak,1.5130367494440373
Herring,1992.0,PWS/Cook Inlet,1.467247244866816
Herring,1992.0,Southeast,1.9152488652255317
Herring,1992.0,NA,1.6478003671710377
Herring,1993.0,Alaska Peninsula,1.3991704276327508
Herring,1993.0,Bristol Bay,1.0510874506363745
Herring,1993.0,Kodiak,1.687419517169555
Herring,1993.0,PWS/Cook Inlet,1.5443823532323635
Herring,1993.0,Southeast,2.0239166074503117
Herring,1993.0,NA,1.4409935105224305
Herring,1994.0,Alaska Peninsula,1.5756363717765038
Herring,1994.0,Bristol Bay,1.0797765135332562
Herring,1994.0,Kodiak,1.7216708431534722
Herring,1994.0,PWS/Cook Inlet,1.6568151376563838
Herring,1994.0,Southeast,1.9445620577481535
Herring,1994.0,NA,1.3584711799404086
Herring,1995.0,Alaska Peninsula,1.4336109284854603
Herring,1995.0,Bristol Bay,1.0497583107761133
Herring,1995.0,Kodiak,1.649612966495209
Herring,1995.0,PWS/Cook Inlet,1.665218236207288
Herring,1995.0,Southeast,1.9320270511147684
Herring,1995.0,NA,1.7405593824924661
Herring,1996.0,Alaska Peninsula,1.3211839637563545
Herring,1996.0,Bristol Bay,1.0345508897438316
Herring,1996.0,Kodiak,1.371804217477923
Herring,1996.0,PWS/Cook Inlet,1.3507045021497257
Herring,1996.0,Southeast,1.8591692762105534
Herring,1996.0,NA,1.3557028697177669
Herring,1997.0,Alaska Peninsula,1.3551041549504883
Herring,1997.0,Bristol Bay,1.057856754568743
Herring,1997.0,Kodiak,1.690255451123771
Herring,1997.0,PWS/Cook Inlet,1.341729935272193
Herring,1997.0,Southeast,1.9289681102511482
Herring,1997.0,NA,1.4701427438941248
Herring,1998.0,Alaska Peninsula,1.3687713230458332
Herring,1998.0,Bristol Bay,1.0735196928313708
Herring,1998.0,Kodiak,1.5717374018806183
Herring,1998.0,PWS/Cook Inlet,1.505999310117964
Herring,1998.0,Southeast,1.9298168578395796
Herring,1998.0,NA,1.5900223665610134
Herring,1999.0,Alaska Peninsula,1.310815892990405
Herring,1999.0,Bristol Bay,1.0198096729102937
Herring,1999.0,Kodiak,1.4323437387677695
Herring,1999.0,PWS/Cook Inlet,1.4126039152938952
Herring,1999.0,Southeast,1.8086302742679417
Herring,1999.0,NA,NaN
Herring,2e3,Alaska Peninsula,1.3386407691732902
Herring,2e3,Bristol Bay,1.020793701057531
Herring,2e3,Kodiak,1.5465601271098184
Herring,2e3,PWS/Cook Inlet,1.5944907726699118
Herring,2e3,Southeast,1.8407826399662688
Herring,2e3,NA,1.335560296885012
Herring,2001.0,Alaska Peninsula,1.4161439959540183
Herring,2001.0,Bristol Bay,1.0564648839327653
Herring,2001.0,Kodiak,1.6019495234369932
Herring,2001.0,PWS/Cook Inlet,1.4675666179071736
Herring,2001.0,Southeast,1.8845371190118247
Herring,2001.0,NA,1.332021118436914
Herring,2002.0,Alaska Peninsula,1.347362367879851
Herring,2002.0,Bristol Bay,1.0730978586528948
Herring,2002.0,Kodiak,NaN
Herring,2002.0,PWS/Cook Inlet,1.4974530521838996
Herring,2002.0,Southeast,1.8052619825524554
Herring,2002.0,NA,1.2652393176343886
Herring,2003.0,Alaska Peninsula,1.3526658833824006
Herring,2003.0,Bristol Bay,1.0421944132909573
Herring,2003.0,Kodiak,1.4474235085507308
Herring,2003.0,PWS/Cook Inlet,1.428003771351817
Herring,2003.0,Southeast,1.8085383038305602
Herring,2003.0,NA,1.2655145418764921
Herring,2004.0,Alaska Peninsula,1.1424141535351104
Herring,2004.0,Bristol Bay,1.052999650527223
Herring,2004.0,Kodiak,1.5151270866740962
Herring,2004.0,PWS/Cook Inlet,1.5031139783245482
Herring,2004.0,Southeast,1.8152865742437692
Herring,2004.0,NA,1.2466998424517621
Herring,2005.0,Alaska Peninsula,1.270924349625472
Herring,2005.0,Bristol Bay,1.0541733054111642
Herring,2005.0,Kodiak,1.4704509525245468
Herring,2005.0,PWS/Cook Inlet,1.383158406378816
Herring,2005.0,Southeast,1.833305291555714
Herring,2005.0,NA,1.222454941279406
Herring,2006.0,Alaska Peninsula,1.3222012918601074
Herring,2006.0,Bristol Bay,1.0688737732956355
Herring,2006.0,Kodiak,1.6237561437866215
Herring,2006.0,PWS/Cook Inlet,1.5123485422738685
Herring,2006.0,Southeast,1.7863121159176283
Herring,2006.0,NA,1.1603752681163944
Herring,2007.0,Alaska Peninsula,1.3448284101333279
Herring,2007.0,Bristol Bay,1.0470386132558003
Herring,2007.0,Kodiak,1.535752808965496
Herring,2007.0,PWS/Cook Inlet,1.3328904410665234
Herring,2007.0,Southeast,1.779571695499306
Herring,2007.0,NA,1.1641998333041248
Herring,2008.0,Alaska Peninsula,1.4944268721279825
Herring,2008.0,Bristol Bay,1.0556156801938894
Herring,2008.0,Kodiak,1.70265602559595
Herring,2008.0,PWS/Cook Inlet,1.5715332655299883
Herring,2008.0,Southeast,1.704828062732802
Herring,2008.0,NA,1.2864823985221796
Herring,2009.0,Alaska Peninsula,1.4661215620143924
Herring,2009.0,Bristol Bay,1.0406370502291102
Herring,2009.0,Kodiak,1.5223953642846773
Herring,2009.0,PWS/Cook Inlet,1.5328537124684964
Herring,2009.0,Southeast,1.8298384057302042
Herring,2009.0,NA,NaN
Herring,2010.0,Alaska Peninsula,1.4536272922555555
Herring,2010.0,Bristol Bay,1.0663613261040432
Herring,2010.0,Kodiak,1.616416691679024
Herring,2010.0,PWS/Cook Inlet,1.5323346715554198
Herring,2010.0,Southeast,1.8690284275112339
Herring,2010.0,NA,1.7187209870257762
Herring,2011.0,Alaska Peninsula,1.5261526235565515
Herring,2011.0,Bristol Bay,1.0406689830254259
Herring,2011.0,Kodiak,1.590485998496348
Herring,2011.0,PWS/Cook Inlet,1.3533483103056878
Herring,2011.0,Southeast,1.838386410230396
Herring,2011.0,NA,1.5371850589132607
Herring,2012.0,Alaska Peninsula,1.4519549627798127
Herring,2012.0,Bristol Bay,1.0771240992963431
Herring,2012.0,Kodiak,1.577416249423752
Herring,2012.0,PWS/Cook Inlet,1.443748434043923
Herring,2012.0,Southeast,1.816037787504157
Herring,2012.0,NA,1.520475691369598
Herring,2013.0,Alaska Peninsula,1.4143597669136123
Herring,2013.0,Bristol Bay,1.0597044016162338
Herring,2013.0,Kodiak,1.4658341338835539
Herring,2013.0,PWS/Cook Inlet,1.4261250862886101
Herring,2013.0,Southeast,1.8540788590613597
Herring,2013.0,NA,1.4689949083328975
Herring,2014.0,Alaska Peninsula,1.3803679517792824
Herring,2014.0,Bristol Bay,1.07257322276056
Herring,2014.0,Kodiak,NaN
Herring,2014.0,PWS/Cook Inlet,1.3508647915361205
Herring,2014.0,Southeast,1.872770891248203
Herring,2014.0,NA,1.4677664133869637
Invertebrate,1985.0,Alaska Peninsula,1.487225898579435
Invertebrate,1985.0,Bristol Bay,1.219394884697054
Invertebrate,1985.0,Kodiak,1.604870623355418
Invertebrate,1985.0,PWS/Cook Inlet,1.6825022833053502
Invertebrate,1985.0,Southeast,1.9873232937610612
Invertebrate,1985.0,NA,1.7353176430794424
Invertebrate,1986.0,Alaska Peninsula,1.47483864268375
Invertebrate,1986.0,Bristol Bay,1.1404354046619254
Invertebrate,1986.0,Kodiak,1.5355806590735241
Invertebrate,1986.0,PWS/Cook Inlet,1.653838161145485
Invertebrate,1986.0,Southeast,1.906469078225397
Invertebrate,1986.0,NA,1.6870683361963155
Invertebrate,1987.0,Alaska Peninsula,1.4705823690871809
Invertebrate,1987.0,Bristol Bay,1.1207906346036283
Invertebrate,1987.0,Kodiak,1.6191784787179664
Invertebrate,1987.0,PWS/Cook Inlet,1.405796950346047
Invertebrate,1987.0,Southeast,2.073591026125704
Invertebrate,1987.0,NA,NaN
Invertebrate,1988.0,Alaska Peninsula,1.8323046046851248
Invertebrate,1988.0,Bristol Bay,1.152160486130583
Invertebrate,1988.0,Kodiak,1.6521760794306783
Invertebrate,1988.0,PWS/Cook Inlet,1.654900575457545
Invertebrate,1988.0,Southeast,2.1303449475579535
Invertebrate,1988.0,NA,1.8231240228833294
Invertebrate,1989.0,Alaska Peninsula,1.4529987083710554
Invertebrate,1989.0,Bristol Bay,1.134762768760042
Invertebrate,1989.0,Kodiak,1.1917369100883608
Invertebrate,1989.0,PWS/Cook Inlet,1.341149412804209
Invertebrate,1989.0,Southeast,1.9460294404302718
Invertebrate,1989.0,NA,1.7844627369071624
Invertebrate,1990.0,Alaska Peninsula,1.4266809981311848
Invertebrate,1990.0,Bristol Bay,1.0800679307530807
Invertebrate,1990.0,Kodiak,1.4911753610567628
Invertebrate,1990.0,PWS/Cook Inlet,1.5618512342448834
Invertebrate,1990.0,Southeast,1.989760085546349
Invertebrate,1990.0,NA,1.7765924592613442
Invertebrate,1991.0,Alaska Peninsula,1.466822464242228
Invertebrate,1991.0,Bristol Bay,1.093082534137624
Invertebrate,1991.0,Kodiak,1.653049086025679
Invertebrate,1991.0,PWS/Cook Inlet,1.5618478235146347
Invertebrate,1991.0,Southeast,2.00804749954277
Invertebrate,1991.0,NA,1.7319220548822414
Invertebrate,1992.0,Alaska Peninsula,1.3708837358740982
Invertebrate,1992.0,Bristol Bay,1.0876682062115917
Invertebrate,1992.0,Kodiak,1.4643869390709214
Invertebrate,1992.0,PWS/Cook Inlet,1.4502013134110114
Invertebrate,1992.0,Southeast,1.9052168347776863
Invertebrate,1992.0,NA,1.6219615723518168
Invertebrate,1993.0,Alaska Peninsula,1.4084397812536118
Invertebrate,1993.0,Bristol Bay,1.0631178291075836
Invertebrate,1993.0,Kodiak,1.6691359878046892
Invertebrate,1993.0,PWS/Cook Inlet,1.537664535627805
Invertebrate,1993.0,Southeast,2.069005124154539
Invertebrate,1993.0,NA,1.402735412677082
Invertebrate,1994.0,Alaska Peninsula,1.600162344896405
Invertebrate,1994.0,Bristol Bay,1.0951618588313303
Invertebrate,1994.0,Kodiak,1.699417979371888
Invertebrate,1994.0,PWS/Cook Inlet,1.6530629608557261
Invertebrate,1994.0,Southeast,1.9426508095052637
Invertebrate,1994.0,NA,1.3500848174611617
Invertebrate,1995.0,Alaska Peninsula,1.4381444316894678
Invertebrate,1995.0,Bristol Bay,1.090557655165868
Invertebrate,1995.0,Kodiak,1.6736981539847615
Invertebrate,1995.0,PWS/Cook Inlet,1.6690021590586686
Invertebrate,1995.0,Southeast,1.9943252145592567
Invertebrate,1995.0,NA,1.6563055307307764
Invertebrate,1996.0,Alaska Peninsula,1.3238443216122877
Invertebrate,1996.0,Bristol Bay,1.0833400438867267
Invertebrate,1996.0,Kodiak,1.391361649791635
Invertebrate,1996.0,PWS/Cook Inlet,1.3568149602196973
Invertebrate,1996.0,Southeast,1.8517520369746823
Invertebrate,1996.0,NA,1.2630332428827438
Invertebrate,1997.0,Alaska Peninsula,1.3568950861995783
Invertebrate,1997.0,Bristol Bay,1.0831489429701597
Invertebrate,1997.0,Kodiak,1.7011072859706773
Invertebrate,1997.0,PWS/Cook Inlet,1.3372419044407355
Invertebrate,1997.0,Southeast,1.896985984668518
Invertebrate,1997.0,NA,1.3847661506324407
Invertebrate,1998.0,Alaska Peninsula,1.3700930123995296
Invertebrate,1998.0,Bristol Bay,1.108384141682658
Invertebrate,1998.0,Kodiak,1.5809070648060672
Invertebrate,1998.0,PWS/Cook Inlet,1.509920181029857
Invertebrate,1998.0,Southeast,1.8830595449660599
Invertebrate,1998.0,NA,1.5367564978249244
Invertebrate,1999.0,Alaska Peninsula,1.3119130160503218
Invertebrate,1999.0,Bristol Bay,1.051978029127989
Invertebrate,1999.0,Kodiak,1.440882537903858
Invertebrate,1999.0,PWS/Cook Inlet,1.4186663186658406
Invertebrate,1999.0,Southeast,1.7718545391356244
Invertebrate,1999.0,NA,1.3760129589438008
Invertebrate,2e3,Alaska Peninsula,1.341513575733402
Invertebrate,2e3,Bristol Bay,1.0417533794949272
Invertebrate,2e3,Kodiak,1.553784765936107
Invertebrate,2e3,PWS/Cook Inlet,1.6044470008815361
Invertebrate,2e3,Southeast,1.8192690362085389
Invertebrate,2e3,NA,1.259828069113691
Invertebrate,2001.0,Alaska Peninsula,1.4037411324511961
Invertebrate,2001.0,Bristol Bay,1.0850847407031765
Invertebrate,2001.0,Kodiak,1.6000516920574652
Invertebrate,2001.0,PWS/Cook Inlet,1.4745281507091508
Invertebrate,2001.0,Southeast,1.8775423605498118
Invertebrate,2001.0,NA,1.234260735261848
Invertebrate,2002.0,Alaska Peninsula,1.3470362940359462
Invertebrate,2002.0,Bristol Bay,1.0992654298603437
Invertebrate,2002.0,Kodiak,1.5094246684840618
Invertebrate,2002.0,PWS/Cook Inlet,1.505333346123537
Invertebrate,2002.0,Southeast,1.7802832838411657
Invertebrate,2002.0,NA,1.19187180052856
Invertebrate,2003.0,Alaska Peninsula,1.3501815304794174
Invertebrate,2003.0,Bristol Bay,1.0652324102120738
Invertebrate,2003.0,Kodiak,1.4488989621620958
Invertebrate,2003.0,PWS/Cook Inlet,1.4338465356573835
Invertebrate,2003.0,Southeast,1.7729856387852594
Invertebrate,2003.0,NA,1.189072330982009
Invertebrate,2004.0,Alaska Peninsula,1.1406918998249713
Invertebrate,2004.0,Bristol Bay,1.064074219275664
Invertebrate,2004.0,Kodiak,1.4991829730081399
Invertebrate,2004.0,PWS/Cook Inlet,1.5102499999543935
Invertebrate,2004.0,Southeast,NaN
Invertebrate,2004.0,NA,1.1619770383996537
Invertebrate,2005.0,Alaska Peninsula,1.2424022946623081
Invertebrate,2005.0,Bristol Bay,1.0648385738547832
Invertebrate,2005.0,Kodiak,1.4629625638897914
Invertebrate,2005.0,PWS/Cook Inlet,1.3898592969982653
Invertebrate,2005.0,Southeast,1.8278674328410833
Invertebrate,2005.0,NA,1.2063389868378622
Invertebrate,2006.0,Alaska Peninsula,1.3093356992771397
Invertebrate,2006.0,Bristol Bay,1.0779277190916514
Invertebrate,2006.0,Kodiak,1.6115131477534443
Invertebrate,2006.0,PWS/Cook Inlet,1.5226815616554634
Invertebrate,2006.0,Southeast,1.786408645177733
Invertebrate,2006.0,NA,1.1455863529286245
Invertebrate,2007.0,Alaska Peninsula,1.3401686435773312
Invertebrate,2007.0,Bristol Bay,1.052329970327242
Invertebrate,2007.0,Kodiak,1.5312851285572648
Invertebrate,2007.0,PWS/Cook Inlet,1.3383674382817636
Invertebrate,2007.0,Southeast,1.7918682261983994
Invertebrate,2007.0,NA,1.1464933662539418
Invertebrate,2008.0,Alaska Peninsula,1.487564442595043
Invertebrate,2008.0,Bristol Bay,1.062373526801727
Invertebrate,2008.0,Kodiak,1.702787008699719
Invertebrate,2008.0,PWS/Cook Inlet,1.5805204405085436
Invertebrate,2008.0,Southeast,1.6961280359732107
Invertebrate,2008.0,NA,1.2652673950249727
Invertebrate,2009.0,Alaska Peninsula,1.4503763793473394
Invertebrate,2009.0,Bristol Bay,1.0452704797925465
Invertebrate,2009.0,Kodiak,1.5215201923698334
Invertebrate,2009.0,PWS/Cook Inlet,1.5405990864119623
Invertebrate,2009.0,Southeast,1.8122575262084746
Invertebrate,2009.0,NA,NaN
Invertebrate,2010.0,Alaska Peninsula,1.4522103727338458
Invertebrate,2010.0,Bristol Bay,1.0726362779426726
Invertebrate,2010.0,Kodiak,1.6209986836200376
Invertebrate,2010.0,PWS/Cook Inlet,1.5462153838591903
Invertebrate,2010.0,Southeast,1.8674313370382412
Invertebrate,2010.0,NA,1.7203955538568227
Invertebrate,2011.0,Alaska Peninsula,1.472481958708752
Invertebrate,2011.0,Bristol Bay,1.0466505301537492
Invertebrate,2011.0,Kodiak,1.569061214811733
Invertebrate,2011.0,PWS/Cook Inlet,1.3614178673063686
Invertebrate,2011.0,Southeast,1.823459384795279
Invertebrate,2011.0,NA,1.520643866974263
Invertebrate,2012.0,Alaska Peninsula,1.3842591113506104
Invertebrate,2012.0,Bristol Bay,1.0833187925618335
Invertebrate,2012.0,Kodiak,1.5636953934588875
